IDRSSD,RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD6164,RCFD6165,RCFDA590,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK192,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TEXT4087,
33370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2750,0,0,5770,,0,0,0,0,0,658,0,0,,,0,2750,0,0,3020,0,0,0,0,0,0,0,,,0,0,,,,1,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.homesavingsbanknky.com,
33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1222,,0,0,0,0,0,702,1,0,,,1000,0,0,0,0,0,1000,0,222,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://www.psbofcolfax.com,
33857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15213,0,41962,15213,0,143687,,0,0,0,0,0,6010,3,0,false,0,0,41962,26630,57920,17175,0,0,0,0,0,0,0,true,true,,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.frontier.bank,
34434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1202,0,603,0,0,,475,0,0,0,727,1285,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,4,134,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bankmagnolia.com,
34537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817367,6877,0,736038,1794,180000,,99,0,89,0,6689,3739,2,1794,true,0,0,180000,0,0,0,180000,0,0,0,0,0,0,true,true,,79535,0,,,,,30,2048,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.seacoastbank.com,
34555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,0,0,764,442,3508,,0,0,0,0,0,5883,2,442,true,0,0,0,525,2000,983,0,0,0,0,0,0,0,true,true,,0,0,,,,,2,11,0,0,0,0,,,,,www.mabank.com/investments/products-and-services,,www.mabank.com/investments/our-team,,,,,,,,,,,,,,www.mabank.com,
34742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,0,45000,570,0,45000,,0,0,0,0,0,2802,2,0,,,0,45000,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,https://www.urfirst.com,,,,,,,,,,,,,,,,http://www.fwbank.com,
35057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,0,0,0,1228,0,,0,0,0,0,0,0,0,1228,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,0,0,,,,,2,41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.alliantbank.com,
35301,8669000,0,5500000,7466000,0,22566000,,6750000,2,0,false,0,8070000,5500000,0,0,0,0,9820000,146000,0,7100000,8146000,4000,1203000,0,0,0,0,,,,,,22496000,,0,0,0,0,0,,,,,,,,,,,,,,,,0,,true,true,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.statestreet.com,
35646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bonduelbank.com,
35879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0,7678,0,342,30678,,0,0,0,0,0,472,0,723,,,17000,7678,0,6000,0,0,17000,0,0,0,0,17000,,,,0,,,,1,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.eastwis.com,
36456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,812,0,138,0,0,,0,0,0,812,0,1615,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.cfbne.com,
36933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2500,0,0,15000,,0,0,0,0,0,809,1,0,,,0,2500,7500,5000,0,0,0,0,0,0,0,0,,,,0,,,,,,1,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.firstate.net,
37051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563,0,2000,4207,0,15000,,0,0,0,0,0,769,1,0,,,0,2000,2000,11000,0,0,0,0,0,0,0,0,,,25,356,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.oakwoodbank.net,
37341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5900,0,0,5900,,0,0,0,0,0,975,1,0,,,0,5900,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.myvernoncountybank.com,
37435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5899,0,0,2941,2958,0,,0,0,0,0,0,1399,0,2958,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,3,139,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.accessunited.com,
