IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
77851,,,,,,45433,28844,0,10425,4009,2155,
78157,,,,,,,,,,,,
78241,,,,,,,,,,,,
78559,,,,,,,,,,,,
79042,,,,,,6273,0,0,2725,1250,2298,
79127,,,,,,,,,,,,
79145,,,,,,,,,,,,
79257,,,,,,,,,,,,
79855,,,,,,,,,,,,
80150,,,,,,,,,,,,
80374,,,,,,,,,,,,
80431,,,,,,,,,,,,
81175,,,,,,,,,,,,
82033,,,,,,,,,,,,
82257,,,,,,,,,,,,
82350,,,,,,,,,,,,
83375,,,,,,,,,,,,
83638,302907,19367,0,46352,237188,302907,0,0,19367,46352,237188,
83834,,,,,,,,,,,,
83852,,,,,,,,,,,,
83955,,,,,,,,,,,,
84046,,,,,,,,,,,,
84541,,,,,,,,,,,,
85052,,,,,,,,,,,,
85472,,,,,,180324,47513,0,56523,19296,56992,
85931,,,,,,,,,,,,
86349,,,,,,,,,,,,
86675,,,,,,,,,,,,
87047,,,,,,,,,,,,
87234,,,,,,,,,,,,
87476,,,,,,,,,,,,
87579,,,,,,23655,1224,0,1247,21184,0,
88231,,,,,,,,,,,,
88259,,,,,,,,,,,,
88352,,,,,,,,,,,,
88455,,,,,,,,,,,,
89032,,,,,,,,,,,,
89135,,,,,,,,,,,,
89854,,,,,,,,,,,,
89957,,,,,,,,,,,,
90047,,,,,,,,,,,,
90177,,,,,,,,,,,,
90328,,,,,,,,,,,,
90337,,,,,,57292,8,0,7812,10325,39147,
90579,,,,,,,,,,,,
91615,,,,,,,,,,,,
91754,,,,,,71454,1509,0,1258,106,68581,
91950,,,,,,,,,,,,
92144,,,,,,,,,,,,
92676,,,,,,29544,5508,0,2325,1461,20250,
92706,,,,,,,,,,,,
92902,,,,,,,,,,,,
93244,,,,,,,,,,,,
93543,,,,,,,,,,,,
93619,29799,0,0,29799,0,29799,0,0,0,29799,0,
94139,,,,,,,,,,,,
94522,,,,,,,,,,,,
94755,,,,,,,,,,,,
94858,,,,,,,,,,,,
95051,,,,,,53685,248,0,583,2378,50476,
95677,,,,,,,,,,,,
96553,,,,,,,,,,,,
97055,,,,,,,,,,,,
97279,,,,,,,,,,,,
97457,,,,,,,,,,,,
97804,,,,,,,,,,,,
97943,,,,,,,,,,,,
98351,,,,,,,,,,,,
98463,,,,,,,,,,,,
98717,,,,,,,,,,,,
99143,,,,,,,,,,,,
99376,,,,,,435725,11,0,841,169442,265431,
99442,,,,,,,,,,,,
99536,,,,,,,,,,,,
99853,,,,,,,,,,,,
