IDRSSD,RIADA491,RIADB904,RIADB905,RIADB906,RIADB907,RIADB909,RIADB910,RIADB911,RIADB912,RIADB947,RIADB948,RIADB949,RIADB950,RIADB951,RIADB952,RIADB953,RIADB954,RIADB955,RIADB956,RIADB957,RIADB958,RIADB959,RIADB960,RIADB961,RIADC058,RIADJ315,RIADJ316,
,NET TRUST INCOME (LOSS),PERSONAL TRUST AND AGENCY ACCOUNTS,EMPLOYEE BENEFIT-DEFINED CONTRIBUTN,EMPLOYEE BENEFIT-DEFINED BENEFIT,OTHER RETIREMENT ACCOUNTS,CUSTODY AND SAFEKEEPING ACCOUNTS,OTH FIDUCIARY/RELATED SERVICES INCME,PLUS:INTRACMPNY INCM CRDTS FOR FIDUC,FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS,"PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC",PRSNL TRST/AGCY ACCTS-GROSS LOSS NON,PERSONAL TRUST/AGCY ACCTS-RECOVERIES,"RETIREMT RLTD TRST,ETC-GROSS LOSS MN","RETIREMT RLTD TRST,ETC-GROSS LOS NON","RETIREMT RELATED TRST,ETC-RECOVERIES",INVMT MNGEMT AGCY ACCTS-GROS LOS MNG,INVMT MNGEMT AGCY ACCTS-GROS LOS NON,INVTMT MNGEMT AGCY ACCTS-RECOVERIES,OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN,OTH FID ACCTS/RLTD SVCS-GROS LOS NON,OTH FIDU ACCTS/RLTD SVCS-RECOVERIES,"TOT FIDU SETTLEMTS,ETC-GROS LOSS MN","TOT FIDU SETTLEMTS,ETC-GROS LOSS NON","TOT FIDU SETTLEMENTS,ETC-RECOVERIES",LESS: EXPENSES,FID REL SRVC INC INV MGMT ADVIS AGY ,FID REL SRVC INC FOUND ENDW TR AGY A,
37341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37435,,1207,42,0,913,0,0,,,,,,,,,,,,,,,,,,,0,109,
37640,,1114,298,188,978,91,1,,,,,,,,,,,,,,,,,,,2156,315,
37659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42420,,1153,12,150,1298,59,16,,,,,,,,,,,,,,,,,,,2530,330,
42448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45560,,4975,15,138,118,195,0,,,,,,,,,,,,,,,,,,,507,124,
45775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
